timestep,alphat_eff_gamelength_5,runtime_gamelength_5,game_length,winner,runtime,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,alphat_eff_gamelength_4,runtime_gamelength_4,alphat_eff_gamelength_3,runtime_gamelength_3,collisions,data_of_agent,run_num,alphat_eff_gamelength_2,runtime_gamelength_2
4,,,3,"[0, 0]",2.719186544418335,1,"[[4.0, 1.0, -3.141592653589793, 0], [4.0, 1.0, -1.5707963267948961, 1]]","[[3.0, 2.0, 1.5707963267948961, 0], [3.0, 2.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.76063059339226, 0.7393694063827391]]",[1.0],[1.0],[0.5212611870127101],[0.47873881298729],0.9922778767136671,0.890568971633911,,,0,1,0,,
5,,,3,"[0, 0]",2.655359268188476,1,"[[4.0, 1.0, -3.141592653589793, 0], [4.0, 1.0, -4.71238898038469, 1]]","[[3.0, 2.0, 3.141592653589793, 0], [2.0, 2.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.7823344394100771, 0.717665560364922]]",[1.0],[1.0],[0.5646688790548551],[0.43533112094514403],0.9922778767136671,0.922701120376586,,,0,1,0,,
6,,,3,"[0, 0]",2.637504577636718,1,"[[4.0, 1.0, -3.141592653589793, 0], [4.0, 1.0, -1.5707963267948961, 1]]","[[2.0, 2.0, 3.141592653589793, 0], [1.0, 2.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.814890208436802, 0.685109791338197]]",[1.0],[1.0],[0.6297804171180721],[0.370219582881927],0.9922778767136671,0.964953660964965,,,0,1,0,,
7,,,3,"[0, 0]",2.545269727706909,1,"[[4.0, 1.0, -1.5707963267948961, 0], [4.0, 1.0, -3.141592653589793, 1]]","[[1.0, 2.0, 4.71238898038469, 0], [1.0, 2.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.814890208436802, 0.685109791338197]]",[1.0],[1.0],[0.6297804171180721],[0.370219582881927],0.9922778767136671,0.930119037628173,,,0,1,0,,
8,,,3,"[0, 0]",2.379661083221435,1,"[[4.0, 1.0, -3.141592653589793, 0], [4.0, 1.0, -4.71238898038469, 1]]","[[1.0, 2.0, 3.141592653589793, 0], [0.0, 2.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.814890208436802, 0.685109791338197]]",[1.0],[1.0],[0.6297804171180721],[0.370219582881927],0.9922778767136671,0.8499119281768791,,,0,1,0,,
9,,,3,"[0, 0]",2.241432666778564,1,"[[4.0, 1.0, -3.141592653589793, 0], [4.0, 1.0, -1.5707963267948961, 1]]","[[0.0, 2.0, 4.71238898038469, 0], [0.0, 2.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.814890208436802, 0.685109791338197]]",[1.0],[1.0],[0.6297804171180721],[0.370219582881927],0.9922778767136671,0.8588593006134031,,,0,1,0,,
0,0.9578262852211511,3.287017345428467,4,"[0, 0]",63.28480529785156,1,"[[1.0, 2.0, 0.0, 0], [1.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [2.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.738742306120986, 0.7612576936540131]]",[1.0],[1.0],[0.477484612463596],[0.522515387536403],,,,,0,0,9,,
1,0.9578262852211511,3.109070539474487,4,"[0, 0]",61.777990102767944,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 1.5707963267948961, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7605937051415691, 0.7394062946334311]]",[1.0],[1.0],[0.521187410511316],[0.47881258948868305],,,,,0,0,9,,
2,,,3,"[0, 0]",61.563209772109985,1,"[[3.0, 2.0, 1.5707963267948961, 0], [3.0, 2.0, 1.5707963267948961, 1]]","[[3.0, 4.0, 0.0, 0], [5.0, 4.0, -1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7171860131059351, 0.7828139866690641]]",[1.0],[1.0],[0.43437202642702605],[0.565627973572973],0.9363291775690441,2.8059418201446533,,,0,0,9,,
3,,,3,"[0, 0]",61.74887013435364,1,"[[3.0, 2.0, 1.5707963267948961, 0], [3.0, 3.0, 0.0, 1]]","[[3.0, 4.0, 0.0, 0], [4.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.738889859123752, 0.761110140651247]]",[1.0],[1.0],[0.47777971846917106],[0.522220281530828],0.9363291775690441,2.819434404373169,,,0,0,9,,
4,,,2,"[0, 0]",60.97514343261719,1,"[[3.0, 3.0, 0.0, 0], [5.0, 3.0, 0.0, 1]]","[[5.0, 4.0, 0.0, 0], [6.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7390374121265171, 0.760962587648482]]",[1.0],[1.0],[0.47807482447474603],[0.5219251755252531],,,0.787838597158335,1.836896181106567,0,0,9,,
5,,,1,"[0, 0]",57.34002208709717,1,"[[5.0, 3.0, 0.0, 0], [6.0, 3.0, -1.5707963267948961, 1]]","[[7.0, 4.0, 0.0, 0], [9.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7065554196011741, 0.793444580173825]]",[1.0],[1.0],[0.41311083941431603],[0.5868891605856841],,,,,0,0,9,0.685994340570035,1.621233224868774
6,,,1,"[0, 0]",57.87694001197815,1,"[[6.0, 3.0, -1.5707963267948961, 0], [6.0, 1.0, -3.141592653589793, 1]]","[[7.0, 4.0, 1.5707963267948961, 0], [7.0, 5.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.739074300377208, 0.7609256993977911]]",[1.0],[1.0],[0.47814860097614],[0.52185139902386],,,,,0,0,9,0.7427813527082071,1.583719253540039
7,,,1,"[0, 0]",58.38120722770691,1,"[[6.0, 1.0, -3.141592653589793, 0], [6.0, 1.0, -4.71238898038469, 1]]","[[7.0, 4.0, 3.141592653589793, 0], [6.0, 4.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.749926223386117, 0.7500737763888821]]",[1.0],[1.0],[0.49985244699721204],[0.500147553002787],,,,,0,0,9,0.685994340570035,1.6847302913665771
8,,,1,"[0, 0]",58.08261442184448,1,"[[6.0, 1.0, -4.71238898038469, 0], [6.0, 3.0, -3.141592653589793, 1]]","[[7.0, 4.0, 1.5707963267948961, 0], [7.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7391111886279, 0.760888811147099]]",[1.0],[1.0],[0.47822237747753304],[0.5217776225224661],,,,,0,0,9,0.685994340570035,1.6477909088134761
9,,,1,"[0, 0]",58.489662170410156,1,"[[6.0, 3.0, -3.141592653589793, 0], [6.0, 3.0, -4.71238898038469, 1]]","[[7.0, 5.0, 0.0, 0], [7.0, 5.0, -1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7499631116368081, 0.750036888138191]]",[1.0],[1.0],[0.49992622349860605],[0.5000737765013931],,,,,0,0,9,0.7427813527082071,1.861448049545288
0,0.9578262852211511,1.334541320800781,4,"[0, 0]",58.04189991950989,1,"[[1.0, 2.0, 0.0, 0], [2.0, 2.0, 1.5707963267948961, 1]]","[[1.0, 4.0, 0.0, 0], [1.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7822237746580031, 0.717776225116996]]",[1.0],[1.0],[0.564447549550673],[0.43555245044932606],,,,,0,1,9,,
